project_entity_id,country_iso3,year,canonical_title,member_count,source_count,sources,member_record_keys,match_basis,amount_policy
PM-8CBDAD89F35D89,,2009,China donates anti-malaria drugs to Central African Republic,2,2,aiddata|chapo,aiddata:56247|chapo:56247,direct_reference,no_cross_source_amount_selected_or_summed
PM-9459076382450D,,2009,Chinese antimalarial experts donate anti-malaria drugs and equipment to Central African Republic anti-malaria center (linked to Record ID#56299),2,2,aiddata|chapo,aiddata:56296|chapo:56296,direct_reference,no_cross_source_amount_selected_or_summed
PM-A0BD5AE69DED56,,2009,Chinese Government provides RMB 70 million grant for Sino-Congolese Friendship Hospital Construction Project in M’Filou,2,2,aiddata|chapo,aiddata:30201|chapo:30201,direct_reference,no_cross_source_amount_selected_or_summed
PM-A1AAC98C0E89D1,,2009,Chinese Government provides grant for establishment of China-CAR Anti-Malaria Center in Bangui,2,2,aiddata|chapo,aiddata:34168|chapo:34168,direct_reference,no_cross_source_amount_selected_or_summed
PM-D15B3F18D777AA,,2009,"Chinese Government dispatches 20th medical team to Makélékélé Reference Hospital, Talangaï Hospital, and Loandjili General Hospital",2,2,aiddata|chapo,aiddata:36334|chapo:36334,direct_reference,no_cross_source_amount_selected_or_summed
SRC-0A59D472EC31A5,,2009,China donates office supplies worth 2 million RMB,1,1,aiddata,aiddata:30509,source_record,no_cross_source_amount_selected_or_summed
SRC-2746E489D13EA2,,2009,Purchase of Customs Inspections Machines,1,1,cla,cla:CF.006,source_record,no_cross_source_amount_selected_or_summed
SRC-27C64FE5EA049F,,2009,China sends three agricultural experts to the Central African Republic,1,1,aiddata,aiddata:32972,source_record,no_cross_source_amount_selected_or_summed
SRC-347041AE4DF9A8,,2009,Team from China-Africa Senior Agricultural Consulting Group consults with Central African Republic Ministry of Agriculture and Rural Development,1,1,aiddata,aiddata:56245,source_record,no_cross_source_amount_selected_or_summed
SRC-3D222BFB6F2AE1,,2009,"Chinese Government funds Phase 4 of Djoué Radio Station Technical Cooperation Project (Linked to Record ID#72850, #73680, #73670)",1,1,aiddata,aiddata:72848,source_record,no_cross_source_amount_selected_or_summed
SRC-67B255C400F826,,2009,Chinese Government provides RMB 10 million grant for Primary School Construction Project,1,1,aiddata,aiddata:56239,source_record,no_cross_source_amount_selected_or_summed
SRC-81D9B345557EF2,,2009,China signs Broadcasting Cooperation Accord with Central African Republic,1,1,aiddata,aiddata:733,source_record,no_cross_source_amount_selected_or_summed
SRC-96B0AB17E1C52B,,2009,China provides 2.6 billion CFA interest-free loan to Central African Republic for mobile vehicle inspection systems (ETCA),1,1,aiddata,aiddata:56506,source_record,no_cross_source_amount_selected_or_summed
SRC-A5B5AAB8298EAC,,2009,Chinese Government provides grant for the Potable Water for Five Northern Towns Project,1,1,aiddata,aiddata:58406,source_record,no_cross_source_amount_selected_or_summed
SRC-BED374F04C738A,,2009,Chinese expert group gives technical agricultural advice at Boyali Farm for “2009 Agricultural Production Mobilization” project,1,1,aiddata,aiddata:56250,source_record,no_cross_source_amount_selected_or_summed
SRC-DB4AE840C66D2D,,2009,"All-China Women’s Foundation donates office equipment, household appliances, and agricultural equipment worth 300,000 RMB to the Organization of Central African Women (OFCA)",1,1,aiddata,aiddata:56518,source_record,no_cross_source_amount_selected_or_summed
SRC-EBF45BCE5491FA,,2009,Economic Development and Infrastructure,1,1,cla,cla:CI.006,source_record,no_cross_source_amount_selected_or_summed
PM-A1FDB73E484DDB,,2010,Chinese government donates Anti-Malaria Drugs,2,2,aiddata|chapo,aiddata:30513|chapo:30513,direct_reference,no_cross_source_amount_selected_or_summed
PM-AA43A2BC84F18B,,2010,Chinese Government dispatches 14th Chinese medical team to the Friendship Hospital in Bangui,2,2,aiddata|chapo,aiddata:36228|chapo:36228,direct_reference,no_cross_source_amount_selected_or_summed
PM-BF801D638BFC9C,,2010,China donates 5th batch of anti-malaria drugs and medical equipment,2,2,aiddata|chapo,aiddata:56229|chapo:56229,direct_reference,no_cross_source_amount_selected_or_summed
SRC-27DF24A9934775,,2010,"Housing, Concorde, Phase 2",1,1,cla,cla:CI.029,source_record,no_cross_source_amount_selected_or_summed
SRC-574438869A6177,,2010,China Eximbank provides $88 million loan for Djiri Water Treatment Distribution Network Project (Linked to Record ID#60219),1,1,aiddata,aiddata:69335,source_record,no_cross_source_amount_selected_or_summed
SRC-63D2E050D15BC8,,2010,Boali No.3 Hydropower Project (10MW),1,1,cla,cla:CF.001,source_record,no_cross_source_amount_selected_or_summed
SRC-86D50723BA643F,,2010,"Chinese Embassy gives 1,082 cases of teaching materials to 3 primary schools (Linked to Record ID#1071)",1,1,aiddata,aiddata:59301,source_record,no_cross_source_amount_selected_or_summed
SRC-8FE8D725E15E65,,2010,Chinese Government provides grant for Phase 13 of Parliament Building Technical Cooperation Project,1,1,aiddata,aiddata:57802,source_record,no_cross_source_amount_selected_or_summed
SRC-964DBC424CE5AD,,2010,Donation of Bus Shelters worth 50 million XAF,1,1,aiddata,aiddata:30518,source_record,no_cross_source_amount_selected_or_summed
SRC-9AA47962FEC6C9,,2010,China Eximbank provides $84 million loan for Djiri Water Treatment Plant Extension Project (Linked to Record ID#60219),1,1,aiddata,aiddata:69323,source_record,no_cross_source_amount_selected_or_summed
SRC-A290C8D85A7C1E,,2010,Chinese Government provides funding for Phase 5 of Alphonse-Massamba Debate Stadium Technical Cooperation Project (Linked to Record ID#57779 and Record ID#73775),1,1,aiddata,aiddata:32011,source_record,no_cross_source_amount_selected_or_summed
SRC-A8E9835129A1A7,,2010,Chinese embassy donates 13.53 million CFA in food supplies to the Central African Republic for flood victims in Bossangoa and Nanga-Boguila,1,1,aiddata,aiddata:56585,source_record,no_cross_source_amount_selected_or_summed
SRC-C442ADF409A9E3,,2010,China Eximbank and Zhenhua Oil provide $1 billion oil prepayment facility to SNPC for general budget and short-term liquidity management purposes,1,1,aiddata,aiddata:105535,source_record,no_cross_source_amount_selected_or_summed
SRC-C78833E9997007,,2010,Chinese Government provides RMB 120 million interest-free loan for 10MW Boali III Hydroelectric Dam and Electric Transmission Network Project (Linked to Record ID#56184 and #73346),1,1,aiddata,aiddata:420,source_record,no_cross_source_amount_selected_or_summed
SRC-DF5F32DDB72103,,2010,Chinese Government provides RMB 64 million of grant funding for 10MW Boali III Hydroelectric Dam and Electric Transmission Network Project (Linked to Record ID#56184 and #420),1,1,aiddata,aiddata:73346,source_record,no_cross_source_amount_selected_or_summed
PM-27B767F7A17B39,,2011,Chinese government grants 51 boxes of medical equipment in 2011,2,2,aiddata|chapo,aiddata:72935|chapo:72935,direct_reference,no_cross_source_amount_selected_or_summed
PM-5B8E00FABF9C0C,,2011,Chinese government agrees to increase amount of anti-malaria drug aid to Central African Republic,2,2,aiddata|chapo,aiddata:56219|chapo:56219,direct_reference,no_cross_source_amount_selected_or_summed
PM-708C56FAB37532,,2011,"Chinese Government dispatches 21st medical team to Makélékélé Reference Hospital, Talangaï Hospital, and Loandjili General Hospital",2,2,aiddata|chapo,aiddata:32013|chapo:32013,direct_reference,no_cross_source_amount_selected_or_summed
PM-841CB487259622,,2011,China donates anti-malaria drugs in 2011,2,2,aiddata|chapo,aiddata:31990|chapo:31990,direct_reference,no_cross_source_amount_selected_or_summed
PM-D569DD47412814,,2011,Chinese Government provides technical assistance to Loandjili General Hospital,2,2,aiddata|chapo,aiddata:32012|chapo:32012,direct_reference,no_cross_source_amount_selected_or_summed
