project_match_id,member_count,source_count,sources,country_iso3,year,member_record_keys,group_basis
PM-A78C31D8CD819C,2,2,aiddata|chapo,MWI,2020,aiddata:92588|chapo:92588,direct_reference
PM-CDD192485C643E,2,2,aiddata|chapo,MWI,2020,aiddata:92591|chapo:92591,direct_reference
PM-D6CB66F3E1B3C3,2,2,aiddata|chapo,MWI,2020,aiddata:88336|chapo:88336,direct_reference
PM-DC0B5BE9F9D674,2,2,aiddata|chapo,MWI,2020,aiddata:92595|chapo:92595,direct_reference
PM-28BC0D8E23240F,2,2,aiddata|chapo,MWI,2021,aiddata:92594|chapo:92594,direct_reference
PM-38C8221D63E2A5,2,2,aiddata|chapo,MWI,2021,aiddata:96977|chapo:96977,direct_reference
PM-5BF67D31EBE58B,2,2,aiddata|chapo,MWI,2021,aiddata:96947|chapo:96947,direct_reference
PM-BCC67D35A6C24C,2,2,aiddata|chapo,MWI,2021,aiddata:95451|chapo:95451,direct_reference
PM-CE8F65F3E47D9C,2,2,aiddata|chapo,MWI,2021,aiddata:96949|chapo:96949,direct_reference
PM-DE736878156306,2,2,aiddata|chapo,MWI,2021,aiddata:96948|chapo:96948,direct_reference
PM-461DE87F87768D,2,2,aiddata|cla,NAM,2000,aiddata:1128|cla:NA.026,automatic_high_confidence
PM-C8330E69EA5E0D,2,2,aiddata|chapo,NAM,2002,aiddata:73228|chapo:73228,direct_reference
PM-0D7212656B078A,2,2,aiddata|chapo,NAM,2004,aiddata:73230|chapo:73230,direct_reference
PM-4FB09D35B6B1BD,2,2,aiddata|chapo,NAM,2006,aiddata:73231|chapo:73231,direct_reference
PM-C38F2635B1E325,2,2,aiddata|chapo,NAM,2007,aiddata:35222|chapo:35222,direct_reference
PM-CA20D2AC8681A7,2,2,aiddata|chapo,NAM,2008,aiddata:35693|chapo:35693,direct_reference
PM-075F1A632BBC09,2,2,aiddata|chapo,NAM,2009,aiddata:30403|chapo:30403,direct_reference
PM-EFF03BCAFDFD5D,2,2,aiddata|chapo,NAM,2010,aiddata:35692|chapo:35692,direct_reference
PM-96117AB81A8B70,2,2,cla|codf,NAM,2012,cla:NA.020|codf:NA.020,automatic_high_confidence
PM-B348E0942EA1E8,2,2,aiddata|chapo,NAM,2012,aiddata:35691|chapo:35691,direct_reference
PM-DB65CBCA21A76C,2,2,cla|codf,NAM,2012,cla:NA.021|codf:NA.021,automatic_high_confidence
PM-2C09AEFA159321,2,2,aiddata|chapo,NAM,2014,aiddata:62435|chapo:62435,direct_reference
PM-CAEFC9E6A84929,2,2,aiddata|chapo,NAM,2014,aiddata:41532|chapo:41532,direct_reference
PM-2A8847C79E1869,2,2,aiddata|chapo,NAM,2016,aiddata:61334|chapo:61334,direct_reference
PM-BF1D3424498ABA,2,2,aiddata|chapo,NAM,2016,aiddata:68345|chapo:68345,direct_reference
PM-3DE97728B2DA22,2,2,aiddata|chapo,NAM,2018,aiddata:87476|chapo:87476,direct_reference
PM-42DB59759ABD67,2,2,aiddata|chapo,NAM,2018,aiddata:62633|chapo:62633,direct_reference
PM-46B6D658A81BE8,2,2,aiddata|chapo,NAM,2018,aiddata:67797|chapo:67797,direct_reference
PM-8824DE8F7735A1,2,2,aiddata|chapo,NAM,2018,aiddata:67811|chapo:67811,direct_reference
PM-C82091485650A9,2,2,aiddata|chapo,NAM,2018,aiddata:62628|chapo:62628,direct_reference
PM-E829B4D24B6140,2,2,aiddata|chapo,NAM,2018,aiddata:62619|chapo:62619,direct_reference
PM-2B915A53D8ED58,2,2,aiddata|chapo,NAM,2020,aiddata:93220|chapo:93220,direct_reference
PM-3206EEB052D673,2,2,aiddata|chapo,NAM,2020,aiddata:93204|chapo:93204,direct_reference
PM-7431BDA59FC92B,2,2,aiddata|chapo,NAM,2020,aiddata:93444|chapo:93444,direct_reference
PM-796F16448E4CA8,2,2,aiddata|chapo,NAM,2020,aiddata:93213|chapo:93213,direct_reference
PM-7AF9B250AA4916,2,2,aiddata|chapo,NAM,2020,aiddata:93216|chapo:93216,direct_reference
PM-7E394E6EB8473F,2,2,aiddata|chapo,NAM,2020,aiddata:93316|chapo:93316,direct_reference
PM-7EEBDC30E088A3,2,2,aiddata|chapo,NAM,2020,aiddata:93317|chapo:93317,direct_reference
PM-C161A603AAAE00,2,2,aiddata|chapo,NAM,2020,aiddata:93201|chapo:93201,direct_reference
PM-C4C0624BD4EDE1,2,2,aiddata|chapo,NAM,2020,aiddata:93212|chapo:93212,direct_reference
PM-D6C584C5BEED7D,2,2,aiddata|chapo,NAM,2020,aiddata:93185|chapo:93185,direct_reference
PM-EA0F2A06EE56AD,2,2,aiddata|chapo,NAM,2020,aiddata:93215|chapo:93215,direct_reference
PM-F50BF54A955860,2,2,aiddata|chapo,NAM,2020,aiddata:93202|chapo:93202,direct_reference
PM-44293C73D82142,2,2,aiddata|chapo,NAM,2021,aiddata:93439|chapo:93439,direct_reference
PM-65F4B2FCD1B814,2,2,aiddata|chapo,NAM,2021,aiddata:93441|chapo:93441,direct_reference
PM-70901251D17BD3,2,2,aiddata|chapo,NAM,2021,aiddata:93312|chapo:93312,direct_reference
PM-85ABF3C75407DD,2,2,aiddata|chapo,NAM,2021,aiddata:93440|chapo:93440,direct_reference
PM-C3732AEAFA080B,2,2,aiddata|chapo,NAM,2021,aiddata:93258|chapo:93258,direct_reference
PM-C4B372815FDBCB,2,2,aiddata|chapo,NAM,2021,aiddata:93448|chapo:93448,direct_reference
PM-E568E579D2C283,2,2,aiddata|chapo,NAM,2021,aiddata:93302|chapo:93302,direct_reference
PM-E89E7292E8C9FF,2,2,aiddata|chapo,NAM,2021,aiddata:93259|chapo:93259,direct_reference
PM-BFD7F15A391553,2,2,aiddata|chapo,NER,2001,aiddata:73321|chapo:73321,direct_reference
PM-2FBB00470D82E3,2,2,aiddata|chapo,NER,2002,aiddata:58564|chapo:58564,direct_reference
PM-BD3D73CF0C6AF3,2,2,aiddata|chapo,NER,2002,aiddata:58568|chapo:58568,direct_reference
PM-385A92C3AACC88,2,2,aiddata|chapo,NER,2003,aiddata:58569|chapo:58569,direct_reference
PM-6DD4EFBEF752C2,2,2,aiddata|chapo,NER,2003,aiddata:73322|chapo:73322,direct_reference
PM-FCFC5B4D104883,2,2,aiddata|chapo,NER,2003,aiddata:58567|chapo:58567,direct_reference
PM-7C022515DDCD81,2,2,aiddata|chapo,NER,2004,aiddata:32814|chapo:32814,direct_reference
PM-C36070774B63E3,2,2,aiddata|chapo,NER,2004,aiddata:32854|chapo:32854,direct_reference
