candidate_id,left_record_key,right_record_key,country_iso3,year,similarity,status,review_decision,method,left_title,right_title
MC-0677997BDA16EF,cgef:LS.012,codf:LS.012,LSO,2020,1.0,reviewed,same_project,normalized_title_sequence_token_v1,Ramarothole Solar Plant (70MW),Ramarothole Solar Plant (70MW)
MC-06A8943E1CB6DB,aiddata:31064,chapo:31064,MOZ,2013,1,direct_reference,confirmed_by_source_id,source_cross_reference,Chinese Government provides $23 million grant for Beira Central Hospital Pediatric Ward Construction Project,Gov't provided grant for Beira Central Hospital ward construction
MC-06C72DC74D10F3,cla:AO.148,codf:AO.148,AGO,2016,1.0,auto_high_confidence,,normalized_title_sequence_token_v1,"Luanda Railway, Bungo - Baia, Duplication (36km)","Luanda Railway, Bungo - Baia, Duplication (36km)"
MC-06CAA17D519F85,cla:KE.039,codf:KE.039,KEN,2008,1.0,auto_high_confidence,,normalized_title_sequence_token_v1,Procurement of Equipment for National Youth Service (NYS),Procurement of Equipment for National Youth Service (NYS)
MC-06D961747E258B,cla:ET.062,codf:ET.062,ETH,2016,1.0,auto_high_confidence,,normalized_title_sequence_token_v1,"Kality Ring Road, Interchange - Tulu Dimtu Roundabout (20.6km)","Kality Ring Road, Interchange - Tulu Dimtu Roundabout (20.6km)"
MC-06E68C9FB59868,cla:RW.006,codf:RW.006,RWA,2012,1.0,auto_high_confidence,,normalized_title_sequence_token_v1,"Kivu Belt, Lots 4,5; Mwityazo-Ruvumbu-Karongi Road (66km)","Kivu Belt, Lots 4,5; Mwityazo-Ruvumbu-Karongi Road (66km)"
MC-07135FFBDF9DC8,aiddata:97579,chapo:97579,CMR,2021,1,direct_reference,confirmed_by_source_id,source_cross_reference,Chinese medical team provides TCM training to Cameroon medical professionals in December 2021,Team provided TCM training to medical professionals
MC-071E772F3AEE12,aiddata:35585,chapo:35585,TUN,2014,1,direct_reference,confirmed_by_source_id,source_cross_reference,"Chinese Government dispatches 21st medical team to Jendouba, Kasserine, Sidi Bouzid, and Tunis (Linked to Record ID#35605, #14020, #35604, #35603, #12970, #19565, #31082, #56660, and #56661)","Gov't sent 21st team to Jendouba, Kasserine, Sidi Bouzid, & Tunis"
MC-075B38F1941DB7,cgp:CM.002.2,cla:CM.010,CMR,2010,1,direct_reference,confirmed_by_source_id,source_cross_reference,Mekin Hydropower Plant,Mekin Hydropower Plant (15MW)
MC-075F1A632BBC09,aiddata:30403,chapo:30403,NAM,2009,1,direct_reference,confirmed_by_source_id,source_cross_reference,Chinese Government provides RMB 70 million grant -through February 2009 ETCA- for Omuthiya District Hospital Construction Project,Gov't provided grant for Omuthiya dist. hospital  project
MC-07909DF2697AF9,cgp:ZA.005.4,cla:ZA.044,ZAF,2018,1,direct_reference,confirmed_by_source_id,source_cross_reference,Kusile Coal Plant,Kusile Coal Plant (4800MW)
MC-07A6BB138EAA49,aiddata:30279,chapo:30279,LSO,2012,1,direct_reference,confirmed_by_source_id,source_cross_reference,China Donates Medical Equipment to Motebang Hospital in Lesotho,Gov't donated med. equipment to Motebang Hospital
MC-07CC3AB9B5182C,cgp:SD.001.2,cla:SD.005,SDN,2003,1,direct_reference,confirmed_by_source_id,source_cross_reference,Merowe Hydropower Plant,Merowe Hydropower Plant (1250MW)
MC-07F0EBE3F5BE76,cgp:SD.001.9,cla:SD.005,SDN,2003,1,direct_reference,confirmed_by_source_id,source_cross_reference,Merowe Hydropower Plant,Merowe Hydropower Plant (1250MW)
MC-07F8B9CFDFB7D5,aiddata:56850,chapo:56850,RWA,2006,1,direct_reference,confirmed_by_source_id,source_cross_reference,Chinese Government provides RMB 100 million grant for Masaka Hospital Construction Project,Gov't provided grant for Masaka hospital construction project
MC-087D06D19D7BDB,aiddata:92239,chapo:92239,MUS,2020,1,direct_reference,confirmed_by_source_id,source_cross_reference,Chinese government donates more pandemic medical supplies to Mauritius Ministry of Health,Gov't donated more pandemic med. supplies Ministry of Health
MC-089D803A9B5D89,cgef:ZW.064,codf:ZW.064,ZWE,2016,1.0,reviewed,same_project,normalized_title_sequence_token_v1,"Hwange 7 & 8 Coal Plant (600MW), Expansion","Hwange 7 & 8 Coal Plant (600MW), Expansion"
MC-08BBDE6163D98C,aiddata:97939,chapo:97939,ZWE,2020,1,direct_reference,confirmed_by_source_id,source_cross_reference,"Chinese Government provides USD 135,000 to UNICEF for nutrition project in Zimbabwe in December 2020",Gov't provided funds for the nutrition project via UN children's fund
MC-090A0B868C1158,aiddata:92165,chapo:92165,BDI,2020,1,direct_reference,confirmed_by_source_id,source_cross_reference,China's Qinghai Province donates anti-epidemic supplies to Burundi for the fight against Covid-19 in May 2020,Qinghai Province donates anti-epidemic supplies
MC-0919D0C5EDE007,cla:ET.037,codf:ET.037,ETH,2013,1.0,reviewed,same_project,normalized_title_sequence_token_v1,"Addis-Djibouti Railway (656km), Tranche C","Addis-Djibouti Railway (656km), Tranche C"
MC-0920B66EF38CF1,aiddata:93026,chapo:93026,STP,2020,1,direct_reference,confirmed_by_source_id,source_cross_reference,Chinese Ambassador provides 2nd batch of supplies to combat COVID-19 in June 2020,Ambassador provided 2nd batch of supplies to combat Covid
MC-0972D7EEDFB5F8,aiddata:35004,chapo:35004,GIN,2008,1,direct_reference,confirmed_by_source_id,source_cross_reference,"Chinese Government dispatches 21st medical team to Ignace Deen Hospital, Labé Regional Hospital, and National Institute for Drug Quality Inspection",Gov't dispatched 21st team to Ignace Deen Hospital & other
MC-098B2D94FA6C0D,aiddata:92785,chapo:92785,GNQ,2020,1,direct_reference,confirmed_by_source_id,source_cross_reference,Chinese Government donates anti-epidemic materials to Equatorial Guinea in April 2020 (linked to Record ID#92784),Gov't donates anti-epidemic materials
MC-098BF8B7816A85,aiddata:88590,chapo:88590,GNQ,2018,1,direct_reference,confirmed_by_source_id,source_cross_reference,The 29th Chinese Medical Team to Equatorial Guinea donates 3000 RMB of medicine to the residents of Corisco Island (Linked to Record ID#88591 and #62283),29th team sent medicine to the residents of Corisco Isl&
MC-09C00A17B68650,aiddata:36114,chapo:36114,CMR,2004,1,direct_reference,confirmed_by_source_id,source_cross_reference,12th Chinese medical team,12th team sent
MC-09DC74828CD555,aiddata:394,chapo:394,COM,2003,1,direct_reference,confirmed_by_source_id,source_cross_reference,"Chinese Government dispatches 5th medical team to El-Maarouf National Hospital Center, Fomboni Hospital, and Hombo Hospital",Gov't dispatched 5th team to hospitals
MC-09DE2A39AD8694,aiddata:1760,chapo:1760,SEN,2007,1,direct_reference,confirmed_by_source_id,source_cross_reference,Chinese Government organizes anti-malarial training workshop in Senegal,Gov't organizes anti-Malarial training workshop in Senegal
MC-09DEA62ACD5B66,aiddata:52273,chapo:52273,LBR,2015,1,direct_reference,confirmed_by_source_id,source_cross_reference,"7th Chinese Medical Team to Arrive at Liberia (Linked to Record ID#1594, #30735, #30736, #1805, #30737)",7th team to arrive
MC-09E07E79144565,aiddata:86704,chapo:86704,SEN,2019,1,direct_reference,confirmed_by_source_id,source_cross_reference,"Chinese 17th Medical Team to Senegal donates medical equipment worth RMB $634,000 to Pikine National Hospital in 2019",17th team donated medical equipment to Pikine National Hospital
MC-0A1AE5A6324451,aiddata:91965,chapo:91965,ZWE,2020,1,direct_reference,confirmed_by_source_id,source_cross_reference,Chinese Government donates second batch of anti-epidemic materials in June 2020 to Zimbabwe,Gov't donated 2nd batch of anti-epidemic materials
